State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore
CA,1,Stanford University,Stanford,94305,www.stanford.edu/,37.426967,-122.168826,0.0509,2,21,1465,3518,0,0,0,1,0,1,1,1,1,1,0,1,122100,396.1,10,59.96
MA,2,Williams College,Williamstown,01267,www.williams.edu,42.711669,-73.205888,0.1932,2,31,1452,3553,0,1,0,1,0,0,1,1,1,1,0,1,68800,391.4,16,57.42
NJ,3,Princeton University,Princeton,08544-0070,www.princeton.edu,40.34853,-74.663603,0.0744,2,21,1491,3456,0,0,1,0,0,1,1,1,1,1,0,1,93200,261.2,20,56.82
MA,4,Harvard University,Cambridge,02138,www.harvard.edu,42.374429,-71.118177,0.0596,2,12,1501,3508,0,1,0,1,0,1,1,1,1,1,0,1,112800,391.4,16,57.42
MA,5,Massachusetts Institute of Technology,Cambridge,02139-4307,web.mit.edu/student/,42.360095,-71.092115,0.0788,2,12,1500,3491,0,0,1,1,0,1,1,1,0,1,1,1,126500,391.4,16,57.42
CT,6,Yale University,New Haven,06520,www.yale.edu,41.311158,-72.926688,0.063,2,12,1493,3548,0,1,1,1,0,1,1,1,1,1,0,1,100500,236.9,17,57.04
CA,7,Pomona College,Claremont,91711-6319,www.pomona.edu,34.098298,-117.711944,0.1219,2,21,1454,3502,0,1,0,1,0,1,1,1,1,1,0,1,56300,396.1,10,59.96
RI,8,Brown University,Providence,02912,www.brown.edu,41.827605,-71.404467,0.0874,2,12,1435,3521,0,1,0,1,1,1,1,1,1,1,1,1,68500,219.2,27,52.37
CT,9,Wesleyan University,Middletown,06459,www.wesleyan.edu,41.55678,-72.656755,0.2391,2,13,NULL,3567,0,1,0,1,0,0,1,1,1,1,0,1,46500,236.9,17,57.04
PA,10,Swarthmore College,Swarthmore,19081,www.swarthmore.edu,39.904081,-75.356066,0.1702,2,21,1433,3524,0,1,0,1,1,1,1,1,1,1,0,1,46600,314.1,34,49.98
PA,11,University of Pennsylvania,Philadelphia,19104-6303,www.upenn.edu,39.951002,-75.193618,0.1037,2,11,1452,3551,0,1,1,1,0,1,1,1,1,1,1,1,106900,314.1,34,49.98
MA,12,Amherst College,Amherst,01002-5000,www.amherst.edu,42.372459,-72.518493,0.1384,2,21,1439,3546,0,1,1,1,0,0,1,1,1,1,0,1,62100,391.4,16,57.42
IN,13,University of Notre Dame,Notre Dame,46556,www.nd.edu,41.703058,-86.238959,0.2114,2,21,1450,3515,0,1,1,1,1,1,1,1,1,1,1,1,78700,365.3,40,45.94
IL,14,Northwestern University,Evanston,60208,www.northwestern.edu,42.058377,-87.673653,0.1311,2,13,1461,3568,0,1,0,1,1,1,1,1,1,1,1,1,73500,370.0,25,52.6
NY,15,Columbia University in the City of New York,New York,10027,www.columbia.edu,40.808286,-73.961885,0.0695,2,11,1470,3577,0,1,1,1,1,1,1,1,1,1,1,1,92100,381.8,26,52.54
NH,16,Dartmouth College,Hanover,03755-3529,www.dartmouth.edu,43.70408,-72.289951,0.115,2,33,1444,3569,0,1,0,1,0,1,1,1,1,1,0,1,85300,196.1,11,59.5
MA,17,Tufts University,Medford,02155-5555,www.tufts.edu,42.406994,-71.121689,0.1724,2,21,1423,3530,0,1,1,1,0,1,1,1,1,1,0,1,82900,391.4,16,57.42
ME,18,Bowdoin College,Brunswick,04011,www.bowdoin.edu/,43.906902,-69.965241,0.1491,2,31,NULL,3506,0,1,0,1,1,0,1,1,1,1,0,1,63300,127.8,33,51.32
IL,19,University of Chicago,Chicago,60637,WWW.UCHICAGO.EDU,41.78917,-87.601196,0.0876,2,11,1505,3581,0,1,0,1,0,0,1,1,1,2,0,1,81700,370.0,25,52.6
DC,20,Georgetown University,Washington,20057-0001,www.georgetown.edu,38.908809,-77.073463,0.1735,2,11,1414,3563,0,0,0,1,0,0,1,1,1,1,1,1,99400,1244.4,18,57.01
MA,21,Boston College,Chestnut Hill,02467,www.bc.edu,42.337688,-71.171488,0.3391,2,13,1380,3526,0,1,0,1,1,0,1,1,1,1,1,1,77600,391.4,16,57.42
PA,22,Haverford College,Haverford,19041-1392,www.haverford.edu,40.013368,-75.302562,0.2469,2,21,1422,3554,0,0,1,1,0,0,1,1,1,1,0,1,53100,314.1,34,49.98
NC,23,Davidson College,Davidson,28035,www.davidson.edu/,35.500006,-80.845236,0.2167,2,21,1337,3460,0,1,0,0,0,0,1,1,1,1,0,1,60900,329.5,30,52.16
NC,24,Duke University,Durham,27708,WWW.DUKE.EDU,36.00159,-78.94226,0.1141,2,12,1454,3550,0,1,0,1,1,1,1,1,1,1,0,1,98300,329.5,30,52.16
MN,25,Carleton College,Northfield,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2277,2,32,1408,3520,0,1,0,1,0,0,1,1,1,1,0,1,52100,229.1,2,69.09
CA,26,Claremont McKenna College,Claremont,91711-6400,www.cmc.edu,34.102323,-117.706593,0.1077,2,21,1419,3560,0,1,0,1,0,1,1,1,1,1,1,1,70200,396.1,10,59.96
VA,27,Washington and Lee University,Lexington,24450-2116,www.wlu.edu/,37.787832,-79.445724,0.1946,2,32,1395,3486,0,1,0,1,0,1,1,1,1,1,1,1,74900,196.2,21,56.61
NY,28,Cornell University,Ithaca,14853,www.cornell.edu,42.447199,-76.483489,0.1419,2,13,1422,3547,1,1,1,1,1,1,1,1,1,1,1,1,81200,381.8,26,52.54
TX,29,Rice University,Houston,77005-1827,www.rice.edu,29.716485,-95.403625,0.151,2,11,1460,3419,0,1,1,1,0,1,1,1,1,1,1,1,76800,405.9,29,52.23
MA,30,Wellesley College,Wellesley,02481-8203,www.wellesley.edu,42.293765,-71.307966,0.3011,2,21,1390,3492,0,1,1,1,0,0,1,1,1,1,0,1,55200,391.4,16,57.42
NY,31,Vassar College,Poughkeepsie,12604,www.vassar.edu,41.685105,-73.894345,0.2354,2,21,1403,3537,0,1,0,1,1,0,1,1,1,1,0,1,48200,381.8,26,52.54
VT,32,Middlebury College,Middlebury,05753,www.middlebury.edu,44.009117,-73.176068,0.1717,2,32,1379,3497,0,1,1,1,0,0,1,1,1,1,0,1,59000,99.3,14,58.01
VA,33,The University of Virginia's College at Wise,Wise,24293-4400,https://www.uvawise.edu/,36.971468,-82.558728,0.6882,1,32,946,1357,0,0,0,1,0,1,0,1,0,1,1,1,37400,196.2,21,56.61
NY,34,Barnard College,New York,10027-6598,www.barnard.edu,40.809137,-73.964027,0.2377,2,11,1343,3536,0,1,1,1,0,0,1,1,1,1,0,1,51200,381.8,26,52.54
VA,35,College of William and Mary,Williamsburg,23187-8795,www.wm.edu,37.271997,-76.709417,0.3302,1,23,1373,2376,0,0,0,1,0,0,1,1,1,1,1,1,59300,196.2,21,56.61
CA,36,California Institute of Technology,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,2,12,1545,3489,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,10,59.96
CA,37,University of California-Berkeley,Berkeley,94720,www.berkeley.edu,37.871969,-122.260423,0.1602,1,12,1382,2724,0,1,1,1,0,1,1,1,1,1,1,1,62500,396.1,10,59.96
ME,38,Colby College,Waterville,04901-8840,www.colby.edu,44.564211,-69.66337,0.2805,2,33,1333,3494,0,1,0,1,0,0,1,1,1,1,0,1,55500,127.8,33,51.32
NY,39,Colgate University,Hamilton,13346-1398,www.colgate.edu,42.8188,-75.535,0.2624,2,32,1369,3512,0,1,0,1,1,0,1,1,1,1,0,1,62600,381.8,26,52.54
OH,40,Oberlin College,Oberlin,44074,www.oberlin.edu,41.29474,-82.221786,0.3272,2,31,1349,3561,0,1,0,1,0,1,1,1,1,1,0,1,35400,284.9,39,46.04
MI,41,University of Michigan-Ann Arbor,Ann Arbor,48109,www.umich.edu,42.276061,-83.743121,0.3224,1,12,1380,2095,0,1,1,1,1,1,1,1,1,1,1,1,65800,427.3,43,44.17
TN,42,Vanderbilt University,Nashville,37240,www.vanderbilt.edu,36.14443,-86.804875,0.1309,2,11,1481,3534,0,0,0,1,1,1,1,1,1,1,0,1,69700,608.4,45,39.96
CA,43,University of California-Los Angeles,Los Angeles,90095-1405,www.ucla.edu/,34.068892,-118.443901,0.1856,1,11,1330,2660,0,1,1,1,0,1,1,1,1,1,1,1,58800,396.1,10,59.96
NC,44,University of North Carolina at Chapel Hill,Chapel Hill,27599,www.unc.edu,35.912165,-79.050969,0.285,1,13,1328,1843,0,1,0,1,1,0,1,1,1,1,1,1,58200,329.5,30,52.16
OH,45,Kenyon College,Gambier,43022,www.kenyon.edu/,40.374408,-82.397977,0.2506,2,32,1332,3509,0,0,0,0,0,0,1,1,1,1,0,1,38300,284.9,39,46.04
PA,46,Bucknell University,Lewisburg,17837,www.bucknell.edu,40.954489,-76.886275,0.3072,2,32,1317,3533,0,1,0,1,1,1,1,1,1,1,1,1,63800,314.1,34,49.98
NY,47,Hamilton College,Clinton,13323,www.hamilton.edu,43.047809,-75.408853,0.2635,2,41,1393,3500,0,1,0,1,0,0,1,1,1,1,0,1,57900,381.8,26,52.54
MA,48,College of the Holy Cross,Worcester,01610-2395,www.holycross.edu,42.238942,-71.808627,0.4334,2,12,NULL,3470,0,0,0,0,0,0,1,1,1,1,0,1,67600,391.4,16,57.42
ME,49,Bates College,Lewiston,04240,www.bates.edu/,44.105299,-70.203333,0.2542,2,13,NULL,3530,0,1,0,0,0,1,1,1,1,1,0,1,59000,127.8,33,51.32
WA,50,Whitman College,Walla Walla,99362,www.whitman.edu,46.07135,-118.33016,0.4101,2,13,1323,3446,0,0,0,0,0,1,1,1,1,1,0,1,43600,285.2,12,59.26
MA,51,Smith College,Northampton,01063,www.smith.edu,42.317933,-72.638094,0.4221,2,21,NULL,3516,0,1,1,1,1,1,1,1,1,1,0,1,42000,391.4,16,57.42
PA,52,Lafayette College,Easton,18042-1768,https://www.lafayette.edu/,40.700512,-75.209058,0.2975,2,21,1300,3503,0,1,0,1,0,1,1,1,1,1,0,1,64900,314.1,34,49.98
PA,53,Franklin and Marshall College,Lancaster,17604-3003,WWW.FANDM.EDU,40.048045,-76.319037,0.3893,2,13,NULL,3527,0,1,0,1,0,0,1,1,1,1,1,1,53500,314.1,34,49.98
CO,54,Colorado College,Colorado Springs,80903,www.coloradocollege.edu,38.84657,-104.82422,0.179,2,11,NULL,3456,0,1,0,1,1,0,1,1,1,1,0,1,37600,309.1,5,61.59
NY,55,University of Rochester,Rochester,14627-0011,www.rochester.edu,43.126437,-77.631042,0.3641,2,12,NULL,3538,0,1,0,1,1,1,1,1,1,1,1,1,61200,381.8,26,52.54
CA,56,Harvey Mudd College,Claremont,91711,https://www.hmc.edu,34.106137,-117.710594,0.1425,2,21,1500,3574,0,0,0,1,0,1,1,1,1,1,0,0,82100,396.1,10,59.96
MO,57,Washington University in St Louis,Saint Louis,63130-4899,www.wustl.edu,38.648125,-90.311639,0.1713,2,21,1478,3573,0,1,1,1,1,1,1,1,1,1,1,1,68900,442.9,42,44.58
NC,58,Wake Forest University,Winston-Salem,27106,www.wfu.edu,36.135301,-80.279004,0.3441,2,12,NULL,3517,0,0,0,1,1,0,1,1,1,1,1,1,62900,329.5,30,52.16
PA,59,Villanova University,Villanova,19085-1699,www.villanova.edu,40.039388,-75.345457,0.4933,2,21,1313,3485,0,1,0,1,1,1,1,1,1,1,1,1,70700,314.1,34,49.98
PA,60,Carnegie Mellon University,Pittsburgh,15213-3890,www.cmu.edu/,40.444616,-79.942914,0.246,2,11,1436,3559,0,1,1,1,1,1,1,1,1,1,1,1,87400,314.1,34,49.98
OR,61,Reed College,Portland,97202-8199,www.reed.edu,45.480376,-122.63064,0.3873,2,11,1383,3501,0,1,0,0,0,0,1,1,1,1,0,1,36000,232.3,32,51.4
CA,62,University of Southern California,Los Angeles,90089,www.usc.edu/,34.021058,-118.283858,0.1802,2,11,1380,3562,0,1,1,1,0,1,1,1,1,1,1,1,74300,396.1,10,59.96
MD,63,Johns Hopkins University,Baltimore,21218-2688,www.jhu.edu,39.32838,-76.620799,0.1608,2,11,1439,3545,0,1,0,1,1,1,1,1,1,1,1,1,73700,446.1,23,55.14
MN,64,Macalester College,Saint Paul,55105-1899,www.macalester.edu,44.936709,-93.169855,0.3635,2,11,1354,3461,0,1,0,1,1,0,1,1,1,1,0,1,43500,229.1,2,69.09
WI,65,University of Wisconsin-Madison,Madison,53706-1380,www.wisc.edu,43.073858,-89.405356,0.5694,1,12,1286,1821,1,1,1,1,1,1,1,1,1,1,1,1,57600,290.3,15,57.8
PA,66,Bryn Mawr College,Bryn Mawr,19010,www.brynmawr.edu,40.028541,-75.314988,0.4047,2,21,1313,3504,0,0,0,1,0,0,1,1,1,1,0,1,48500,314.1,34,49.98
IL,67,University of Illinois at Urbana-Champaign,Champaign,61820-5711,www.illinois.edu/,40.108864,-88.230309,0.5904,1,13,1326,2459,1,1,1,1,1,1,1,1,1,1,1,1,58100,370.0,25,52.6
IA,68,Grinnell College,Grinnell,50112-1690,www.grinnell.edu,41.747048,-92.721246,0.2801,2,33,1398,3443,0,0,0,1,0,0,1,1,1,1,0,1,46500,273.5,7,60.92
MA,69,Brandeis University,Waltham,02454-9110,www.brandeis.edu/,42.364947,-71.254716,0.3522,2,13,1369,3531,0,1,0,1,1,0,1,1,1,1,1,1,53300,391.4,16,57.42
GA,70,Emory University,Atlanta,30322,www.emory.edu,33.798836,-84.325782,0.2682,2,21,1366,3507,0,1,0,1,1,0,1,1,1,1,1,1,71800,377.3,37,47.43
WA,71,University of Washington-Seattle Campus,Seattle,98195-4550,www.washington.edu,47.656213,-122.313115,0.5521,1,11,1240,2036,1,1,1,1,1,1,1,1,1,1,1,1,57200,285.2,12,59.26
PA,72,Lehigh University,Bethlehem,18015,www.lehigh.edu,40.607158,-75.378887,0.3427,2,13,1326,3450,0,1,1,1,0,1,1,1,1,1,1,1,75600,314.1,34,49.98
NY,73,New York University,New York,10012-1091,www.nyu.edu,40.729452,-73.997264,0.3545,2,11,1344,3557,0,0,0,1,1,1,1,1,1,2,2,1,62800,381.8,26,52.54
FL,74,University of Florida,Gainesville,32611,www.ufl.edu/,29.649428,-82.339958,0.4561,1,12,1273,1355,1,1,2,1,1,1,2,1,2,2,2,1,54300,540.5,35,49.14
MA,75,Boston University,Boston,02215,www.bu.edu,42.349581,-71.09984,0.3451,2,11,1300,3542,0,0,1,1,1,1,1,1,1,1,1,1,59800,391.4,16,57.42
PA,76,Dickinson College,Carlisle,17013-2896,www.dickinson.edu,40.202796,-77.197854,0.4809,2,13,NULL,3514,0,1,0,1,0,0,1,1,1,1,1,1,52200,314.1,34,49.98
CT,77,Connecticut College,New London,06320-4196,www.conncoll.edu,41.379833,-72.107321,0.376,2,13,NULL,3525,0,0,1,1,1,0,1,1,1,1,0,1,49300,236.9,17,57.04
FL,78,AI Miami International University of Art and Design,Miami,33132-1418,www.artinstitutes.edu/miami/,25.790008,-80.18839,NULL,3,11,NULL,2522,0,0,0,1,0,0,0,0,0,0,1,0,30700,540.5,35,49.14
CA,79,Scripps College,Claremont,91711-3905,www.scrippscollege.edu,34.103655,-117.711336,0.284,2,21,1360,3540,0,1,0,1,0,1,1,1,1,1,1,1,43300,396.1,10,59.96
NY,80,Skidmore College,Saratoga Springs,12866,www.skidmore.edu/,43.092696,-73.785108,0.3734,2,23,1241,3528,0,1,0,1,1,0,1,1,1,1,1,1,45000,381.8,26,52.54
ID,81,Brigham Young University-Idaho,Rexburg,83460-1690,www.byui.edu,43.815384,-111.784728,0.9962,2,32,1041,193,1,1,0,2,1,1,1,1,1,1,2,1,39900,212.2,6,60.93
CA,82,Santa Clara University,Santa Clara,95053,www.scu.edu,37.352706,-121.938189,0.4935,2,12,1309,3491,0,1,0,1,0,1,1,1,1,1,1,1,68400,396.1,10,59.96
CA,83,California Institute of Technology,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,2,12,1545,3489,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,10,59.96
MI,84,Kalamazoo College,Kalamazoo,49006-3295,www.kzoo.edu,42.290382,-85.601317,0.6965,2,13,1239,3369,0,0,0,1,0,0,1,1,1,1,1,1,43500,427.3,43,44.17
IN,85,DePauw University,Greencastle,46135-1772,www.depauw.edu,39.63953,-86.863556,0.566,2,32,1213,3409,0,1,0,1,1,0,1,1,1,1,0,1,51900,365.3,40,45.94
NY,86,Cooper Union for the Advancement of Science and Art,New York,10003-7120,www.cooper.edu,40.72938,-73.990516,0.1506,2,11,1388,3458,0,0,1,0,0,1,0,0,0,0,0,0,53600,381.8,26,52.54
TX,87,The University of Texas at Austin,Austin,78712,www.utexas.edu,30.286598,-97.73924,0.3966,1,11,1296,2070,0,0,1,1,0,1,1,1,1,1,1,1,60400,405.9,29,52.23
TN,88,Sewanee-The University of the South,Sewanee,37383-1000,www.sewanee.edu,35.20443,-85.917772,0.647,2,42,NULL,3300,0,1,0,1,0,0,1,1,1,1,0,1,42000,608.4,45,39.96
GA,89,University of Georgia,Athens,30602,www.uga.edu,33.956428,-83.374049,0.5572,1,12,1248,1587,1,1,1,1,1,1,1,1,1,1,1,1,48500,377.3,37,47.43
TN,90,Rhodes College,Memphis,38112-1690,www.rhodes.edu,35.154424,-89.989187,0.5999,2,11,1296,3407,0,1,0,1,0,0,1,1,1,1,1,1,50000,608.4,45,39.96
OH,91,Denison University,Granville,43023-0713,www.denison.edu,40.072582,-82.520625,0.5553,2,23,NULL,3445,0,1,0,1,1,0,1,1,1,1,0,1,47100,284.9,39,46.04
CA,92,Occidental College,Los Angeles,90041-3392,www.oxy.edu,34.126224,-118.210783,0.4204,2,11,1300,3571,0,1,0,1,0,0,1,1,1,1,0,1,44700,396.1,10,59.96
KY,93,Centre College,Danville,40422-1394,www.centre.edu,37.645102,-84.779175,0.7157,2,32,1263,3296,0,1,0,1,1,0,1,1,1,1,0,1,41000,211.6,49,35.08
VA,94,University of Richmond,University of Richmond,23173,www.richmond.edu,37.577625,-77.538702,0.318,2,12,1337,3463,0,1,0,1,0,0,1,1,1,1,1,1,62900,196.2,21,56.61
MA,95,Mount Holyoke College,South Hadley,01075-1489,www.mtholyoke.edu,42.257588,-72.573625,0.547,2,21,NULL,3431,0,1,1,1,1,0,1,1,1,1,0,1,42400,391.4,16,57.42
DC,96,George Washington University,Washington,20052,www.gwu.edu,38.89865,-77.047871,0.4379,2,11,1297,3541,0,1,0,1,0,1,1,1,1,1,1,1,70000,1244.4,18,57.01
MA,97,Babson College,Wellesley,02457-0310,www.babson.edu,42.296529,-71.269479,0.2631,2,21,1272,3522,0,0,0,0,0,0,0,0,0,0,2,0,84900,391.4,16,57.42
MN,98,St Olaf College,Northfield,55057-1098,wp.stolaf.edu,44.462884,-93.183633,0.5128,2,32,1292,3387,0,1,0,1,1,0,1,1,1,1,0,1,45100,229.1,2,69.09
SC,99,Wofford College,Spartanburg,29303-3663,www.wofford.edu,34.957914,-81.934572,0.7739,2,13,1194,3335,0,1,0,1,1,0,1,1,1,1,1,1,50000,497.7,38,47.06
SC,100,Furman University,Greenville,29613-6162,www.furman.edu,34.920785,-82.441473,0.6871,2,21,NULL,3453,0,0,0,1,1,1,1,1,1,1,1,1,48100,497.7,38,47.06
RI,101,Rhode Island School of Design,Providence,02903-2784,www.risd.edu,41.825935,-71.407692,0.3259,2,12,1254,3539,0,0,1,0,0,0,0,0,0,0,0,0,44900,219.2,27,52.37
OH,102,Case Western Reserve University,Cleveland,44106,www.case.edu,41.500812,-81.605769,0.3831,2,11,1375,3457,0,1,1,1,1,1,1,1,1,1,1,1,74200,284.9,39,46.04
NY,103,Sarah Lawrence College,Bronxville,10708,www.slc.edu,40.934147,-73.84381,0.5314,2,21,NULL,3576,0,0,0,0,0,0,0,0,0,0,0,0,39400,381.8,26,52.54
RI,104,Providence College,Providence,02918-0001,www.providence.edu,41.844064,-71.43792,0.6306,2,12,NULL,3462,0,0,0,1,1,1,1,1,1,1,1,1,59400,219.2,27,52.37
CA,105,University of California-Santa Barbara,Santa Barbara,93106,www.ucsb.edu,34.416281,-119.846404,0.3634,1,22,1253,2761,0,1,0,1,0,1,1,1,1,1,1,1,49600,396.1,10,59.96
IN,106,Indiana University-Bloomington,Bloomington,47405-7000,www.iub.edu,39.166383,-86.526904,0.7609,1,13,1198,1804,0,1,0,1,1,0,1,1,1,1,2,1,48300,365.3,40,45.94
TX,107,Southern Methodist University,Dallas,75275-0221,www.smu.edu,32.845254,-96.784855,0.524,2,21,1316,3529,0,1,0,1,1,1,1,1,1,1,1,1,62600,405.9,29,52.23
CA,108,University of California-San Diego,La Jolla,92093,www.ucsd.edu,32.876598,-117.237793,0.3329,1,11,1313,2533,0,1,0,1,1,1,1,1,1,1,1,1,55200,396.1,10,59.96
VA,109,Virginia Polytechnic Institute and State University,Blacksburg,24061-0131,WWW.VT.EDU,37.228572,-80.423229,0.7263,1,13,1215,2099,1,1,1,1,1,1,1,1,1,1,1,1,55900,196.2,21,56.61
MN,110,University of Minnesota-Twin Cities,Minneapolis,55455-0213,www1.umn.edu/twincities/index.php,44.977886,-93.235352,0.4535,1,11,1271,1911,1,1,1,2,2,2,1,1,1,1,2,1,49900,229.1,2,69.09
CO,111,University of Colorado Boulder,Boulder,80309-0017,www.colorado.edu,40.004415,-105.267061,0.8416,1,13,1207,2431,0,1,1,1,1,1,1,1,1,1,1,1,47000,309.1,5,61.59
PA,112,Gettysburg College,Gettysburg,17325,WWW.GETTYSBURG.EDU,39.836091,-77.234982,0.4543,2,13,NULL,3481,0,1,0,0,1,0,1,1,1,1,1,1,53200,314.1,34,49.98
NY,113,Bard College,Annandale-On-Hudson,12504-5000,www.bard.edu,42.021803,-73.906243,0.4461,2,31,NULL,3565,0,0,0,0,0,0,0,0,0,1,1,0,33700,381.8,26,52.54
CA,114,Pitzer College,Claremont,91711-6101,www.pitzer.edu,34.103408,-117.705939,0.1302,2,21,NULL,3544,0,1,1,1,1,1,1,1,1,1,1,1,39400,396.1,10,59.96
DC,115,American University,Washington,20016-8001,WWW.AMERICAN.EDU,38.937802,-77.090106,0.4584,2,11,1252,3447,0,1,0,1,1,0,1,1,1,1,1,1,55200,1244.4,18,57.01
CA,116,University of California-Davis,Davis,95616-8678,www.ucdavis.edu,38.539895,-121.751958,0.4037,1,23,1226,2702,1,1,1,1,1,1,1,1,1,1,1,1,53700,396.1,10,59.96
NY,117,Hobart William Smith Colleges,Geneva,14456,WWW.HWS.EDU,42.857725,-76.984533,0.4753,2,32,NULL,3505,0,1,1,1,0,0,1,1,1,1,0,1,49400,381.8,26,52.54
IN,118,Indiana University-Purdue University-Fort Wayne,Fort Wayne,46805-1499,www.ipfw.edu,41.115418,-85.111747,0.9087,1,11,1002,1218,0,0,0,2,1,1,1,1,1,1,1,1,34500,365.3,40,45.94
PA,119,Muhlenberg College,Allentown,18104,www.muhlenberg.edu,40.597362,-75.508954,0.528,2,12,NULL,3426,0,1,0,1,0,0,1,1,1,1,1,1,51400,314.1,34,49.98
LA,120,Tulane University of Louisiana,New Orleans,70118-5698,tulane.edu,29.939696,-90.120409,0.2795,2,11,1342,3532,0,1,1,1,1,1,1,1,1,1,1,1,67600,514.7,46,39.03
CA,121,Pepperdine University,Malibu,90263,www.pepperdine.edu/,34.041912,-118.707677,0.3546,2,21,1234,3535,0,0,0,1,1,0,1,1,1,1,1,1,67300,396.1,10,59.96
IN,122,Earlham College,Richmond,47374-4095,www.earlham.edu,39.822278,-84.911464,0.6452,2,32,NULL,3406,0,1,0,1,0,1,1,1,1,1,1,1,30700,365.3,40,45.94
OH,123,The College of Wooster,Wooster,44691,www.wooster.edu,40.81046,-81.934674,0.5909,2,32,1229,3412,0,0,0,1,1,0,1,1,1,1,0,1,43300,284.9,39,46.04
WI,124,Lawrence University,Appleton,54911,www.lawrence.edu,44.261323,-88.397822,0.7295,2,13,NULL,3389,0,1,0,0,1,0,1,1,1,1,0,1,40500,290.3,15,57.8
NY,125,Rensselaer Polytechnic Institute,Troy,12180-3590,www.rpi.edu,42.728983,-73.678768,0.375,2,13,1372,3552,0,1,1,1,0,1,1,1,1,1,1,0,71400,381.8,26,52.54
IA,126,Drake University,Des Moines,50311-4505,www.drake.edu,41.60381,-93.654062,0.6926,2,12,1239,3196,0,1,0,1,1,0,1,1,1,1,1,1,57200,273.5,7,60.92
DE,127,University of Delaware,Newark,19716,www.udel.edu/,39.6795744,-75.7529169,0.6783,1,21,1194,1756,1,1,1,1,2,2,1,1,1,2,2,2,53100,489.1,19,57.01
VT,128,University of Vermont,Burlington,05405-0160,www.uvm.edu,44.479262,-73.198128,0.7344,1,13,1191,2380,1,1,0,1,1,1,1,1,1,1,1,1,44500,99.3,14,58.01
CO,129,University of Denver,Denver,80208,www.du.edu,39.695954,-104.964625,0.7649,2,11,1231,3432,1,1,0,1,0,1,1,1,1,2,2,1,53000,309.1,5,61.59
CO,130,Colorado School of Mines,Golden,80401,www.mines.edu,39.75079,-105.227148,0.3647,1,21,1333,2538,0,0,0,1,0,1,0,1,0,1,0,0,80900,309.1,5,61.59
NJ,131,Rutgers University-Camden,Camden,08102,www.rutgers.edu,39.948628,-75.125303,0.6038,1,13,1025,1792,0,0,0,1,0,0,1,1,1,1,1,1,54700,261.2,20,56.82
TX,132,Texas A & M University-Corpus Christi,Corpus Christi,78412-5503,www.tamucc.edu,27.718601,-97.331933,0.8462,1,11,970,1217,0,1,0,1,0,1,1,1,1,1,1,1,41500,405.9,29,52.23
VT,133,Bennington College,Bennington,05201-6003,www.bennington.edu,42.92004,-73.237498,0.6721,2,32,NULL,3555,0,1,1,1,1,0,1,1,1,1,0,1,30900,99.3,14,58.01
NY,134,Syracuse University,Syracuse,13244,syr.edu/,43.040005,-76.136633,0.5323,2,12,1184,3459,0,0,1,1,1,1,1,1,1,1,1,1,55000,381.8,26,52.54
NY,135,Fordham University,Bronx,10458,www.fordham.edu,40.861183,-73.889578,0.4812,2,11,1254,3493,0,0,0,1,1,1,1,1,1,1,1,1,53400,381.8,26,52.54
