"","Name","Rank","City","State","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"1","Stanford University",1,"Stanford","CA","94305","www.stanford.edu/","37.426967","-122.168826","0.0509",2,"21","1465",60311,"0","0","0","1","0","1","1","1","1","1","0","1"
"2","Williams College",2,"Williamstown","MA","01267","www.williams.edu","42.711669","-73.205888","0.1932",2,"31","1452",61850,"0","1","0","1","0","0","1","1","1","1","0","1"
"3","Princeton University",3,"Princeton","NJ","08544-0070","www.princeton.edu","40.34853","-74.663603","0.0744",2,"21","1491",57400,"0","0","1","0","0","1","1","1","1","1","0","1"
"4","Harvard University",4,"Cambridge","MA","02138","www.harvard.edu","42.374429","-71.118177","0.0596",2,"12","1501",59950,"0","1","0","1","0","1","1","1","1","1","0","1"
"5","Massachusetts Institute of Technology",5,"Cambridge","MA","02139-4307","web.mit.edu/student/","42.360095","-71.092115","0.0788",2,"12","1500",59020,"0","0","1","1","0","1","1","1","0","1","1","1"
"6","Yale University",6,"New Haven","CT","06520","www.yale.edu","41.311158","-72.926688","0.063",2,"12","1493",61620,"0","1","1","1","0","1","1","1","1","1","0","1"
"7","Pomona College",7,"Claremont","CA","91711-6319","www.pomona.edu","34.098298","-117.711944","0.1219",2,"21","1454",59730,"0","1","0","1","0","1","1","1","1","1","0","1"
"8","Brown University",8,"Providence","RI","02912","www.brown.edu","41.827605","-71.404467","0.0874",2,"12","1435",60460,"0","1","0","1","1","1","1","1","1","1","1","1"
"9","Wesleyan University",9,"Middletown","CT","06459","www.wesleyan.edu","41.55678","-72.656755","0.2391",2,"13","NULL",62849,"0","1","0","1","0","0","1","1","1","1","0","1"
"10","Swarthmore College",10,"Swarthmore","PA","19081","www.swarthmore.edu","39.904081","-75.356066","0.1702",2,"21","1433",60671,"0","1","0","1","1","1","1","1","1","1","0","1"
"11","University of Pennsylvania",11,"Philadelphia","PA","19104-6303","www.upenn.edu","39.951002","-75.193618","0.1037",2,"11","1452",61800,"0","1","1","1","0","1","1","1","1","1","1","1"
"12","Amherst College",12,"Amherst","MA","01002-5000","www.amherst.edu","42.372459","-72.518493","0.1384",2,"21","1439",61544,"0","1","1","1","0","0","1","1","1","1","0","1"
"13","University of Notre Dame",13,"Notre Dame","IN","46556","www.nd.edu","41.703058","-86.238959","0.2114",2,"21","1450",60117,"0","1","1","1","1","1","1","1","1","1","1","1"
"14","Northwestern University",14,"Evanston","IL","60208","www.northwestern.edu","42.058377","-87.673653","0.1311",2,"13","1461",63028,"0","1","0","1","1","1","1","1","1","1","1","1"
"15","Columbia University in the City of New York",15,"New York","NY","10027","www.columbia.edu","40.808286","-73.961885","0.0695",2,"11","1470",64144,"0","1","1","1","1","1","1","1","1","1","1","1"
"16","Dartmouth College",16,"Hanover","NH","03755-3529","www.dartmouth.edu","43.70408","-72.289951","0.115",2,"33","1444",63279,"0","1","0","1","0","1","1","1","1","1","0","1"
"17","Tufts University",17,"Medford","MA","02155-5555","www.tufts.edu","42.406994","-71.121689","0.1724",2,"21","1423",61000,"0","1","1","1","0","1","1","1","1","1","0","1"
"18","Bowdoin College",18,"Brunswick","ME","04011","www.bowdoin.edu/","43.906902","-69.965241","0.1491",2,"31","NULL",59900,"0","1","0","1","1","0","1","1","1","1","0","1"
"19","University of Chicago",19,"Chicago","IL","60637","WWW.UCHICAGO.EDU","41.78917","-87.601196","0.0876",2,"11","1505",64988,"0","1","0","1","0","0","1","1","1","2","0","1"
"20","Georgetown University",20,"Washington","DC","20057-0001","www.georgetown.edu","38.908809","-77.073463","0.1735",2,"11","1414",62179,"0","0","0","1","0","0","1","1","1","1","1","1"
"21","Boston College",21,"Chestnut Hill","MA","02467","www.bc.edu","42.337688","-71.171488","0.3391",2,"13","1380",60690,"0","1","0","1","1","0","1","1","1","1","1","1"
"22","Haverford College",22,"Haverford","PA","19041-1392","www.haverford.edu","40.013368","-75.302562","0.2469",2,"21","1422",61898,"0","0","1","1","0","0","1","1","1","1","0","1"
"23","Davidson College",23,"Davidson","NC","28035","www.davidson.edu/","35.500006","-80.845236","0.2167",2,"21","1337",57458,"0","1","0","0","0","0","1","1","1","1","0","1"
"24","Duke University",24,"Durham","NC","27708","WWW.DUKE.EDU","36.00159","-78.94226","0.1141",2,"12","1454",61748,"0","1","0","1","1","1","1","1","1","1","0","1"
"25","Carleton College",25,"Northfield","MN","55057-4001","www.carleton.edu","44.462304","-93.154662","0.2277",2,"32","1408",60401,"0","1","0","1","0","0","1","1","1","1","0","1"
"26","Claremont McKenna College",26,"Claremont","CA","91711-6400","www.cmc.edu","34.102323","-117.706593","0.1077",2,"21","1419",62010,"0","1","0","1","0","1","1","1","1","1","1","1"
"27","Washington and Lee University",27,"Lexington","VA","24450-2116","www.wlu.edu/","37.787832","-79.445724","0.1946",2,"32","1395",58575,"0","1","0","1","0","1","1","1","1","1","1","1"
"28","Cornell University",28,"Ithaca","NY","14853","www.cornell.edu","42.447199","-76.483489","0.1419",2,"13","1422",61608,"1","1","1","1","1","1","1","1","1","1","1","1"
"29","Rice University",29,"Houston","TX","77005-1827","www.rice.edu","29.716485","-95.403625","0.151",2,"11","1460",54291,"0","1","1","1","0","1","1","1","1","1","1","1"
"30","Wellesley College",30,"Wellesley","MA","02481-8203","www.wellesley.edu","42.293765","-71.307966","0.3011",2,"21","1390",59092,"0","1","1","1","0","0","1","1","1","1","0","1"
"31","Vassar College",31,"Poughkeepsie","NY","12604","www.vassar.edu","41.685105","-73.894345","0.2354",2,"21","1403",61320,"0","1","0","1","1","0","1","1","1","1","0","1"
"32","Middlebury College",32,"Middlebury","VT","05753","www.middlebury.edu","44.009117","-73.176068","0.1717",2,"32","1379",59470,"0","1","1","1","0","0","1","1","1","1","0","1"
"33","The University of Virginia's College at Wise",33,"Wise","VA","24293-4400","https://www.uvawise.edu/","36.971468","-82.558728","0.6882",1,"32","946",20095,"0","0","0","1","0","1","0","1","0","1","1","1"
"34","Barnard College",34,"New York","NY","10027-6598","www.barnard.edu","40.809137","-73.964027","0.2377",2,"11","1343",61171,"0","1","1","1","0","0","1","1","1","1","0","1"
"35","College of William and Mary",35,"Williamsburg","VA","23187-8795","www.wm.edu","37.271997","-76.709417","0.3302",1,"23","1373",28329,"0","0","0","1","0","0","1","1","1","1","1","1"
"36","California Institute of Technology",36,"Pasadena","CA","91125","www.caltech.edu","34.139275","-118.12574","0.0883",2,"12","1545",58755,"0","0","0","1","0","1","1","1","0","1","1","1"
"37","University of California-Berkeley",37,"Berkeley","CA","94720","www.berkeley.edu","37.871969","-122.260423","0.1602",1,"12","1382",33020,"0","1","1","1","0","1","1","1","1","1","1","1"
"38","Colby College",38,"Waterville","ME","04901-8840","www.colby.edu","44.564211","-69.66337","0.2805",2,"33","1333",59110,"0","1","0","1","0","0","1","1","1","1","0","1"
"39","Colgate University",39,"Hamilton","NY","13346-1398","www.colgate.edu","42.8188","-75.535","0.2624",2,"32","1369",60050,"0","1","0","1","1","0","1","1","1","1","0","1"
"40","Oberlin College",40,"Oberlin","OH","44074","www.oberlin.edu","41.29474","-82.221786","0.3272",2,"31","1349",62051,"0","1","0","1","0","1","1","1","1","1","0","1"
"41","University of Michigan-Ann Arbor",41,"Ann Arbor","MI","48109","www.umich.edu","42.276061","-83.743121","0.3224",1,"12","1380",26143,"0","1","1","1","1","1","1","1","1","1","1","1"
"42","Vanderbilt University",42,"Nashville","TN","37240","www.vanderbilt.edu","36.14443","-86.804875","0.1309",2,"11","1481",61112,"0","0","0","1","1","1","1","1","1","1","0","1"
"43","University of California-Los Angeles",43,"Los Angeles","CA","90095-1405","www.ucla.edu/","34.068892","-118.443901","0.1856",1,"11","1330",32074,"0","1","1","1","0","1","1","1","1","1","1","1"
"44","University of North Carolina at Chapel Hill",44,"Chapel Hill","NC","27599","www.unc.edu","35.912165","-79.050969","0.285",1,"13","1328",23978,"0","1","0","1","1","0","1","1","1","1","1","1"
"45","Kenyon College",45,"Gambier","OH","43022","www.kenyon.edu/","40.374408","-82.397977","0.2506",2,"32","1332",59960,"0","0","0","0","0","0","1","1","1","1","0","1"
"46","Bucknell University",46,"Lewisburg","PA","17837","www.bucknell.edu","40.954489","-76.886275","0.3072",2,"32","1317",61060,"0","1","0","1","1","1","1","1","1","1","1","1"
"47","Hamilton College",47,"Clinton","NY","13323","www.hamilton.edu","43.047809","-75.408853","0.2635",2,"41","1393",59590,"0","1","0","1","0","0","1","1","1","1","0","1"
"48","College of the Holy Cross",48,"Worcester","MA","01610-2395","www.holycross.edu","42.238942","-71.808627","0.4334",2,"12","NULL",57754,"0","0","0","0","0","0","1","1","1","1","0","1"
"49","Bates College",49,"Lewiston","ME","04240","www.bates.edu/","44.105299","-70.203333","0.2542",2,"13","NULL",61000,"0","1","0","0","0","1","1","1","1","1","0","1"
"50","Whitman College",50,"Walla Walla","WA","99362","www.whitman.edu","46.07135","-118.33016","0.4101",2,"13","1323",56600,"0","0","0","0","0","1","1","1","1","1","0","1"
"51","Smith College",51,"Northampton","MA","01063","www.smith.edu","42.317933","-72.638094","0.4221",2,"21","NULL",60167,"0","1","1","1","1","1","1","1","1","1","0","1"
"52","Lafayette College",52,"Easton","PA","18042-1768","https://www.lafayette.edu/","40.700512","-75.209058","0.2975",2,"21","1300",59750,"0","1","0","1","0","1","1","1","1","1","0","1"
"53","Franklin and Marshall College",53,"Lancaster","PA","17604-3003","WWW.FANDM.EDU","40.048045","-76.319037","0.3893",2,"13","NULL",60765,"0","1","0","1","0","0","1","1","1","1","1","1"
"54","Colorado College",54,"Colorado Springs","CO","80903","www.coloradocollege.edu","38.84657","-104.82422","0.179",2,"11","NULL",57400,"0","1","0","1","1","0","1","1","1","1","0","1"
"55","University of Rochester",55,"Rochester","NY","14627-0011","www.rochester.edu","43.126437","-77.631042","0.3641",2,"12","NULL",61340,"0","1","0","1","1","1","1","1","1","1","1","1"
"56","Harvey Mudd College",56,"Claremont","CA","91711","https://www.hmc.edu","34.106137","-117.710594","0.1425",2,"21","1500",63860,"0","0","0","1","0","1","1","1","1","1","0","0"
"57","Washington University in St Louis",57,"Saint Louis","MO","63130-4899","www.wustl.edu","38.648125","-90.311639","0.1713",2,"21","1478",63755,"0","1","1","1","1","1","1","1","1","1","1","1"
"58","Wake Forest University",58,"Winston-Salem","NC","27106","www.wfu.edu","36.135301","-80.279004","0.3441",2,"12","NULL",60210,"0","0","0","1","1","0","1","1","1","1","1","1"
"59","Villanova University",59,"Villanova","PA","19085-1699","www.villanova.edu","40.039388","-75.345457","0.4933",2,"21","1313",58519,"0","1","0","1","1","1","1","1","1","1","1","1"
"60","Carnegie Mellon University",60,"Pittsburgh","PA","15213-3890","www.cmu.edu/","40.444616","-79.942914","0.246",2,"11","1436",61990,"0","1","1","1","1","1","1","1","1","1","1","1"
"61","Reed College",61,"Portland","OR","97202-8199","www.reed.edu","45.480376","-122.63064","0.3873",2,"11","1383",59595,"0","1","0","0","0","0","1","1","1","1","0","1"
"62","University of Southern California",62,"Los Angeles","CA","90089","www.usc.edu/","34.021058","-118.283858","0.1802",2,"11","1380",62092,"0","1","1","1","0","1","1","1","1","1","1","1"
"63","Johns Hopkins University",63,"Baltimore","MD","21218-2688","www.jhu.edu","39.32838","-76.620799","0.1608",2,"11","1439",61481,"0","1","0","1","1","1","1","1","1","1","1","1"
"64","Macalester College",64,"Saint Paul","MN","55105-1899","www.macalester.edu","44.936709","-93.169855","0.3635",2,"11","1354",57478,"0","1","0","1","1","0","1","1","1","1","0","1"
"65","University of Wisconsin-Madison",65,"Madison","WI","53706-1380","www.wisc.edu","43.073858","-89.405356","0.5694",1,"12","1286",23839,"1","1","1","1","1","1","1","1","1","1","1","1"
"66","Bryn Mawr College",66,"Bryn Mawr","PA","19010","www.brynmawr.edu","40.028541","-75.314988","0.4047",2,"21","1313",59760,"0","0","0","1","0","0","1","1","1","1","0","1"
"67","University of Illinois at Urbana-Champaign",67,"Champaign","IL","61820-5711","www.illinois.edu/","40.108864","-88.230309","0.5904",1,"13","1326",29086,"1","1","1","1","1","1","1","1","1","1","1","1"
"68","Grinnell College",68,"Grinnell","IA","50112-1690","www.grinnell.edu","41.747048","-92.721246","0.2801",2,"33","1398",56354,"0","0","0","1","0","0","1","1","1","1","0","1"
"69","Brandeis University",69,"Waltham","MA","02454-9110","www.brandeis.edu/","42.364947","-71.254716","0.3522",2,"13","1369",61023,"0","1","0","1","1","0","1","1","1","1","1","1"
"70","Emory University",70,"Atlanta","GA","30322","www.emory.edu","33.798836","-84.325782","0.2682",2,"21","1366",59908,"0","1","0","1","1","0","1","1","1","1","1","1"
"71","University of Washington-Seattle Campus",71,"Seattle","WA","98195-4550","www.washington.edu","47.656213","-122.313115","0.5521",1,"11","1240",25637,"1","1","1","1","1","1","1","1","1","1","1","1"
"72","Lehigh University",72,"Bethlehem","PA","18015","www.lehigh.edu","40.607158","-75.378887","0.3427",2,"13","1326",57043,"0","1","1","1","0","1","1","1","1","1","1","1"
"73","New York University",73,"New York","NY","10012-1091","www.nyu.edu","40.729452","-73.997264","0.3545",2,"11","1344",61958,"0","0","0","1","1","1","1","1","1","2","2","1"
"74","University of Florida",74,"Gainesville","FL","32611","www.ufl.edu/","29.649428","-82.339958","0.4561",1,"12","1273",20085,"1","1","2","1","1","1","2","1","2","2","2","1"
"75","Boston University",75,"Boston","MA","02215","www.bu.edu","42.349581","-71.09984","0.3451",2,"11","1300",61396,"0","0","1","1","1","1","1","1","1","1","1","1"
"76","Dickinson College",76,"Carlisle","PA","17013-2896","www.dickinson.edu","40.202796","-77.197854","0.4809",2,"13","NULL",60109,"0","1","0","1","0","0","1","1","1","1","1","1"
"77","Connecticut College",77,"New London","CT","06320-4196","www.conncoll.edu","41.379833","-72.107321","0.376",2,"13","NULL",60682,"0","0","1","1","1","0","1","1","1","1","0","1"
"78","AI Miami International University of Art and Design",78,"Miami","FL","33132-1418","www.artinstitutes.edu/miami/","25.790008","-80.18839","NULL",3,"11","NULL",29975,"0","0","0","1","0","0","0","0","0","0","1","0"
"79","Scripps College",79,"Claremont","CA","91711-3905","www.scrippscollege.edu","34.103655","-117.711336","0.284",2,"21","1360",61370,"0","1","0","1","0","1","1","1","1","1","1","1"
"80","Skidmore College",80,"Saratoga Springs","NY","12866","www.skidmore.edu/","43.092696","-73.785108","0.3734",2,"23","1241",60900,"0","1","0","1","1","0","1","1","1","1","1","1"
"81","Brigham Young University-Idaho",81,"Rexburg","ID","83460-1690","www.byui.edu","43.815384","-111.784728","0.9962",2,"32","1041",11139,"1","1","0","2","1","1","1","1","1","1","2","1"
"82","Santa Clara University",82,"Santa Clara","CA","95053","www.scu.edu","37.352706","-121.938189","0.4935",2,"12","1309",59020,"0","1","0","1","0","1","1","1","1","1","1","1"
"83","California Institute of Technology",83,"Pasadena","CA","91125","www.caltech.edu","34.139275","-118.12574","0.0883",2,"12","1545",58755,"0","0","0","1","0","1","1","1","0","1","1","1"
"84","Kalamazoo College",84,"Kalamazoo","MI","49006-3295","www.kzoo.edu","42.290382","-85.601317","0.6965",2,"13","1239",50800,"0","0","0","1","0","0","1","1","1","1","1","1"
"85","DePauw University",85,"Greencastle","IN","46135-1772","www.depauw.edu","39.63953","-86.863556","0.566",2,"32","1213",53410,"0","1","0","1","1","0","1","1","1","1","0","1"
"86","Cooper Union for the Advancement of Science and Art",86,"New York","NY","10003-7120","www.cooper.edu","40.72938","-73.990516","0.1506",2,"11","1388",57429,"0","0","1","0","0","1","0","0","0","0","0","0"
"87","The University of Texas at Austin",87,"Austin","TX","78712","www.utexas.edu","30.286598","-97.73924","0.3966",1,"11","1296",25918,"0","0","1","1","0","1","1","1","1","1","1","1"
"88","Sewanee-The University of the South",88,"Sewanee","TN","37383-1000","www.sewanee.edu","35.20443","-85.917772","0.647",2,"42","NULL",47970,"0","1","0","1","0","0","1","1","1","1","0","1"
"89","University of Georgia",89,"Athens","GA","30602","www.uga.edu","33.956428","-83.374049","0.5572",1,"12","1248",21981,"1","1","1","1","1","1","1","1","1","1","1","1"
"90","Rhodes College",90,"Memphis","TN","38112-1690","www.rhodes.edu","35.154424","-89.989187","0.5999",2,"11","1296",52958,"0","1","0","1","0","0","1","1","1","1","1","1"
"91","Denison University",91,"Granville","OH","43023-0713","www.denison.edu","40.072582","-82.520625","0.5553",2,"23","NULL",56520,"0","1","0","1","1","0","1","1","1","1","0","1"
"92","Occidental College",92,"Los Angeles","CA","90041-3392","www.oxy.edu","34.126224","-118.210783","0.4204",2,"11","1300",63363,"0","1","0","1","0","0","1","1","1","1","0","1"
"93","Centre College",93,"Danville","KY","40422-1394","www.centre.edu","37.645102","-84.779175","0.7157",2,"32","1263",47897,"0","1","0","1","1","0","1","1","1","1","0","1"
"94","University of Richmond",94,"University of Richmond","VA","23173","www.richmond.edu","37.577625","-77.538702","0.318",2,"12","1337",57535,"0","1","0","1","0","0","1","1","1","1","1","1"
"95","Mount Holyoke College",95,"South Hadley","MA","01075-1489","www.mtholyoke.edu","42.257588","-72.573625","0.547",2,"21","NULL",55454,"0","1","1","1","1","0","1","1","1","1","0","1"
"96","George Washington University",96,"Washington","DC","20052","www.gwu.edu","38.89865","-77.047871","0.4379",2,"11","1297",61394,"0","1","0","1","0","1","1","1","1","1","1","1"
"97","Babson College",97,"Wellesley","MA","02457-0310","www.babson.edu","42.296529","-71.269479","0.2631",2,"21","1272",60494,"0","0","0","0","0","0","0","0","0","0","2","0"
"98","St Olaf College",98,"Northfield","MN","55057-1098","wp.stolaf.edu","44.462884","-93.183633","0.5128",2,"32","1292",51860,"0","1","0","1","1","0","1","1","1","1","0","1"
"99","Wofford College",99,"Spartanburg","SC","29303-3663","www.wofford.edu","34.957914","-81.934572","0.7739",2,"13","1194",49150,"0","1","0","1","1","0","1","1","1","1","1","1"
"100","Furman University",100,"Greenville","SC","29613-6162","www.furman.edu","34.920785","-82.441473","0.6871",2,"21","NULL",57276,"0","0","0","1","1","1","1","1","1","1","1","1"
"101","Rhode Island School of Design",101,"Providence","RI","02903-2784","www.risd.edu","41.825935","-71.407692","0.3259",2,"12","1254",61352,"0","0","1","0","0","0","0","0","0","0","0","0"
"102","Case Western Reserve University",102,"Cleveland","OH","44106","www.case.edu","41.500812","-81.605769","0.3831",2,"11","1375",57405,"0","1","1","1","1","1","1","1","1","1","1","1"
"103","Sarah Lawrence College",103,"Bronxville","NY","10708","www.slc.edu","40.934147","-73.84381","0.5314",2,"21","NULL",64056,"0","0","0","0","0","0","0","0","0","0","0","0"
"104","Providence College",104,"Providence","RI","02918-0001","www.providence.edu","41.844064","-71.43792","0.6306",2,"12","NULL",57517,"0","0","0","1","1","1","1","1","1","1","1","1"
"105","University of California-Santa Barbara",105,"Santa Barbara","CA","93106","www.ucsb.edu","34.416281","-119.846404","0.3634",1,"22","1253",33826,"0","1","0","1","0","1","1","1","1","1","1","1"
"106","Indiana University-Bloomington",106,"Bloomington","IN","47405-7000","www.iub.edu","39.166383","-86.526904","0.7609",1,"13","1198",23716,"0","1","0","1","1","0","1","1","1","1","2","1"
"107","Southern Methodist University",107,"Dallas","TX","75275-0221","www.smu.edu","32.845254","-96.784855","0.524",2,"21","1316",60938,"0","1","0","1","1","1","1","1","1","1","1","1"
"108","University of California-San Diego",108,"La Jolla","CA","92093","www.ucsd.edu","32.876598","-117.237793","0.3329",1,"11","1313",30092,"0","1","0","1","1","1","1","1","1","1","1","1"
"109","Virginia Polytechnic Institute and State University",109,"Blacksburg","VA","24061-0131","WWW.VT.EDU","37.228572","-80.423229","0.7263",1,"13","1215",26165,"1","1","1","1","1","1","1","1","1","1","1","1"
"110","University of Minnesota-Twin Cities",110,"Minneapolis","MN","55455-0213","www1.umn.edu/twincities/index.php","44.977886","-93.235352","0.4535",1,"11","1271",24551,"1","1","1","2","2","2","1","1","1","1","2","1"
"111","University of Colorado Boulder",111,"Boulder","CO","80309-0017","www.colorado.edu","40.004415","-105.267061","0.8416",1,"13","1207",28887,"0","1","1","1","1","1","1","1","1","1","1","1"
"112","Gettysburg College",112,"Gettysburg","PA","17325","WWW.GETTYSBURG.EDU","39.836091","-77.234982","0.4543",2,"13","NULL",58320,"0","1","0","0","1","0","1","1","1","1","1","1"
"113","Bard College",113,"Annandale-On-Hudson","NY","12504-5000","www.bard.edu","42.021803","-73.906243","0.4461",2,"31","NULL",62572,"0","0","0","0","0","0","0","0","0","1","1","0"
"114","Pitzer College",114,"Claremont","CA","91711-6101","www.pitzer.edu","34.103408","-117.705939","0.1302",2,"21","NULL",61416,"0","1","1","1","1","1","1","1","1","1","1","1"
"115","American University",115,"Washington","DC","20016-8001","WWW.AMERICAN.EDU","38.937802","-77.090106","0.4584",2,"11","1252",56620,"0","1","0","1","1","0","1","1","1","1","1","1"
"116","University of California-Davis",116,"Davis","CA","95616-8678","www.ucdavis.edu","38.539895","-121.751958","0.4037",1,"23","1226",32638,"1","1","1","1","1","1","1","1","1","1","1","1"
"117","Hobart William Smith Colleges",117,"Geneva","NY","14456","WWW.HWS.EDU","42.857725","-76.984533","0.4753",2,"32","NULL",59850,"0","1","1","1","0","0","1","1","1","1","0","1"
"118","Indiana University-Purdue University-Fort Wayne",118,"Fort Wayne","IN","46805-1499","www.ipfw.edu","41.115418","-85.111747","0.9087",1,"11","1002",18755,"0","0","0","2","1","1","1","1","1","1","1","1"
"119","Muhlenberg College",119,"Allentown","PA","18104","www.muhlenberg.edu","40.597362","-75.508954","0.528",2,"12","NULL",55200,"0","1","0","1","0","0","1","1","1","1","1","1"
"120","Tulane University of Louisiana",120,"New Orleans","LA","70118-5698","tulane.edu","29.939696","-90.120409","0.2795",2,"11","1342",61055,"0","1","1","1","1","1","1","1","1","1","1","1"
"121","Pepperdine University",121,"Malibu","CA","90263","www.pepperdine.edu/","34.041912","-118.707677","0.3546",2,"21","1234",61164,"0","0","0","1","1","0","1","1","1","1","1","1"
"122","Earlham College",122,"Richmond","IN","47374-4095","www.earlham.edu","39.822278","-84.911464","0.6452",2,"32","NULL",52710,"0","1","0","1","0","1","1","1","1","1","1","1"
"123","The College of Wooster",123,"Wooster","OH","44691","www.wooster.edu","40.81046","-81.934674","0.5909",2,"32","1229",53500,"0","0","0","1","1","0","1","1","1","1","0","1"
"124","Lawrence University",124,"Appleton","WI","54911","www.lawrence.edu","44.261323","-88.397822","0.7295",2,"13","NULL",51897,"0","1","0","0","1","0","1","1","1","1","0","1"
"125","Rensselaer Polytechnic Institute",125,"Troy","NY","12180-3590","www.rpi.edu","42.728983","-73.678768","0.375",2,"13","1372",61820,"0","1","1","1","0","1","1","1","1","1","1","0"
"126","Drake University",126,"Des Moines","IA","50311-4505","www.drake.edu","41.60381","-93.654062","0.6926",2,"12","1239",44261,"0","1","0","1","1","0","1","1","1","1","1","1"
"127","University of Delaware",127,"Newark","DE","19716","www.udel.edu/","39.6795744","-75.7529169","0.6783",1,"21","1194",23357,"1","1","1","1","2","2","1","1","1","2","2","2"
"128","University of Vermont",128,"Burlington","VT","05405-0160","www.uvm.edu","44.479262","-73.198128","0.7344",1,"13","1191",28348,"1","1","0","1","1","1","1","1","1","1","1","1"
"129","University of Denver",129,"Denver","CO","80208","www.du.edu","39.695954","-104.964625","0.7649",2,"11","1231",55476,"1","1","0","1","0","1","1","1","1","2","2","1"
"130","Colorado School of Mines",130,"Golden","CO","80401","www.mines.edu","39.75079","-105.227148","0.3647",1,"21","1333",30154,"0","0","0","1","0","1","0","1","0","1","0","0"
"131","Rutgers University-Camden",131,"Camden","NJ","08102","www.rutgers.edu","39.948628","-75.125303","0.6038",1,"13","1025",23651,"0","0","0","1","0","0","1","1","1","1","1","1"
"132","Texas A & M University-Corpus Christi",132,"Corpus Christi","TX","78412-5503","www.tamucc.edu","27.718601","-97.331933","0.8462",1,"11","970",18745,"0","1","0","1","0","1","1","1","1","1","1","1"
"133","Bennington College",133,"Bennington","VT","05201-6003","www.bennington.edu","42.92004","-73.237498","0.6721",2,"32","NULL",61920,"0","1","1","1","1","0","1","1","1","1","0","1"
"134","Syracuse University",134,"Syracuse","NY","13244","syr.edu/","43.040005","-76.136633","0.5323",2,"12","1184",57450,"0","0","1","1","1","1","1","1","1","1","1","1"
"135","Fordham University",135,"Bronx","NY","10458","www.fordham.edu","40.861183","-73.889578","0.4812",2,"11","1254",59105,"0","0","0","1","1","1","1","1","1","1","1","1"
